configuration,runtime_args,condition,samples,failures,audio_seconds,wer_percent,mean_first_text_ms,median_total_ms,vmhwm_mib
memory_gate_f16kv,-c 512 --no-repack -b 64 -ub 16,clean,18,0,178.68499999999997,3.5714285714285716,1736.9136806163524,2088.964270427823,1307.73046875
memory_gate_f16kv,-c 512 --no-repack -b 64 -ub 16,gaussian_10db,18,0,178.68499999999997,7.142857142857143,2099.2583357470317,2526.2943126726896,1307.73046875
memory_gate_f16kv,-c 512 --no-repack -b 64 -ub 16,competing_speech_5db,18,0,178.68499999999997,54.76190476190476,2151.421826410418,2630.5452710948884,1307.73046875
