configuration,runtime_args,condition,samples,failures,audio_seconds,wer_percent,mean_first_text_ms,median_total_ms,vmhwm_mib
repack_ctx512,-c 512,clean,18,0,178.68499999999997,3.5714285714285716,560.1376990735945,802.2763330955058,1919.34375
repack_ctx512,-c 512,gaussian_10db,18,0,178.68499999999997,7.142857142857143,837.3477270361036,1142.500479472801,1919.34375
repack_ctx512,-c 512,competing_speech_5db,18,0,178.68499999999997,54.285714285714285,836.9072524623739,1199.6131255291402,1919.34375
no_repack_ctx512,-c 512 --no-repack,clean,18,0,178.68499999999997,3.5714285714285716,1885.5145695205365,2325.627521146089,1365.27734375
no_repack_ctx512,-c 512 --no-repack,gaussian_10db,18,0,178.68499999999997,6.904761904761905,1913.8603194409775,2344.050520565361,1365.27734375
no_repack_ctx512,-c 512 --no-repack,competing_speech_5db,18,0,178.68499999999997,54.285714285714285,1917.590733876245,2422.1390003804117,1365.27734375
